STATECD,COUNTYCD,FORTYPCD,n_plots,sdimax_metric_mean,sdimax_metric_median,sdimax_metric_p25,sdimax_metric_p75,sdimax_english_mean,sdimax_english_median
9,1,503,9,786.1,747.8,635.1,912.1,318.1,302.6
9,1,505,3,770.6,713.7,724.1,797.1,311.8,288.8
9,1,506,1,832.2,822.1,832.2,832.2,336.8,332.7
9,1,515,2,1151.5,1136,1083.7,1219.3,466,459.7
9,1,517,1,941.8,934.8,941.8,941.8,381.1,378.3
9,1,519,2,716.7,781.3,707.8,725.7,290.1,316.2
9,1,520,3,746.4,669.7,715.7,767.5,302.1,271
9,1,701,1,978,977.2,978,978,395.8,395.5
9,1,708,1,944.1,959.4,944.1,944.1,382,388.2
9,1,801,3,833.4,853.2,795.3,864.5,337.3,345.3
9,1,805,2,643.3,619.2,586,700.5,260.3,250.6
9,1,999,2,853.4,819.5,815.3,891.5,345.3,331.6
9,3,103,1,1620.7,1635.6,1620.7,1620.7,655.9,661.9
9,3,401,4,1093.3,989,888.7,1158.9,442.4,400.2
9,3,503,11,1020.6,1013.3,915.3,1163.4,413,410.1
9,3,505,3,805.6,875.6,741.5,906,326,354.3
9,3,506,1,1407,1557.2,1407,1407,569.4,630.2
9,3,515,4,885.2,817.8,730.2,1025.4,358.2,331
9,3,516,1,586,699.4,586,586,237.1,283.1
9,3,519,4,740.7,671.6,651.6,746.3,299.8,271.8
9,3,608,1,960.1,935,960.1,960.1,388.5,378.4
9,3,705,1,473.8,461.6,473.8,473.8,191.7,186.8
9,3,708,3,848.9,897.8,792.7,907.8,343.5,363.3
9,3,801,2,648.4,692.7,468.6,828.1,262.4,280.3
9,3,805,1,1106.6,1041,1106.6,1106.6,447.8,421.3
9,3,903,1,439.2,428.2,439.2,439.2,177.7,173.3
9,3,962,1,644.7,633.4,644.7,644.7,260.9,256.3
9,3,995,1,602.1,545.9,602.1,602.1,243.7,220.9
9,3,999,2,375.4,367.9,294.6,456.2,151.9,148.9
9,5,103,1,796.6,760,796.6,796.6,322.4,307.6
9,5,105,2,1161.1,1148.5,981.3,1341,469.9,464.8
9,5,401,5,977.1,1043.3,814.2,1100.6,395.4,422.2
9,5,503,23,933.5,773.1,589.3,1183.3,377.8,312.9
9,5,505,13,876.5,801,701.2,910.4,354.7,324.1
9,5,506,1,913.7,903.2,913.7,913.7,369.8,365.5
9,5,510,2,751.6,767.7,744.1,759.1,304.2,310.7
9,5,515,1,800.5,777.4,800.5,800.5,324,314.6
9,5,516,4,1098.1,1122,924.9,1261,444.4,454.1
9,5,519,2,1151.8,1120.6,1139.7,1163.9,466.1,453.5
9,5,520,3,782.6,683.3,647.9,873.8,316.7,276.5
9,5,702,1,579.2,654.6,579.2,579.2,234.4,264.9
9,5,708,4,706.7,571.7,465.4,833.4,286,231.4
9,5,801,8,834.7,852.7,601.5,1099.7,337.8,345.1
9,5,802,1,475.7,501.4,475.7,475.7,192.5,202.9
9,5,805,3,828.1,768.6,664.3,965.8,335.1,311
9,5,962,5,857.5,785.1,745.2,960.4,347,317.7
9,7,171,1,456.1,446.5,456.1,456.1,184.6,180.7
9,7,384,1,1473.8,1475.1,1473.8,1473.8,596.4,597
9,7,503,14,882.5,873,758.3,1063.2,357.1,353.3
9,7,506,1,856.5,877.9,856.5,856.5,346.6,355.3
9,7,515,2,611.9,614.6,530.9,692.9,247.6,248.7
9,7,520,2,546.3,509.4,537.8,554.7,221.1,206.1
9,7,608,2,697.9,678.2,672.4,723.3,282.4,274.5
9,7,706,1,480.5,453.7,480.5,480.5,194.5,183.6
9,7,708,2,913.3,962.8,856.8,969.8,369.6,389.6
9,7,801,2,848.1,813.7,646.4,1049.7,343.2,329.3
9,7,809,1,694.4,705.7,694.4,694.4,281,285.6
9,7,962,4,749.7,765.4,587.4,933.6,303.4,309.7
9,7,995,1,390.9,443.8,390.9,390.9,158.2,179.6
9,9,503,13,849.9,818.8,691.7,942.1,344,331.4
9,9,506,1,1671.8,1788.4,1671.8,1671.8,676.5,723.8
9,9,507,1,410.6,397,410.6,410.6,166.2,160.6
9,9,510,1,1014.4,995.8,1014.4,1014.4,410.5,403
9,9,515,2,925.6,898,917.8,933.4,374.6,363.4
9,9,519,7,949.7,874.1,792.6,1096.2,384.3,353.7
9,9,520,1,756.9,851.7,756.9,756.9,306.3,344.7
9,9,701,1,601.6,592.2,601.6,601.6,243.5,239.6
9,9,705,1,616,619.9,616,616,249.3,250.9
9,9,708,3,734.4,751.1,612.3,882,297.2,304
9,9,801,3,576.3,504,484.6,652,233.2,204
9,9,805,1,1057.3,1069.8,1057.3,1057.3,427.9,433
9,9,809,1,1142.9,1069.7,1142.9,1142.9,462.5,432.9
9,9,962,3,867.7,779.3,756.3,939.2,351.2,315.4
9,11,171,1,305.5,384.1,305.5,305.5,123.6,155.4
9,11,401,1,993.9,1068.8,993.9,993.9,402.2,432.5
9,11,409,1,175.6,170,175.6,175.6,71.1,68.8
9,11,503,20,805.2,783.9,666.1,907.1,325.8,317.2
9,11,504,1,1022,949.1,1022,1022,413.6,384.1
9,11,505,3,969.1,973.2,911.4,1039.9,392.2,393.8
9,11,506,1,1245.1,1292.2,1245.1,1245.1,503.9,522.9
9,11,510,1,973.4,1048.7,973.4,973.4,393.9,424.4
9,11,515,6,748,706.9,623.7,771.1,302.7,286.1
9,11,516,3,657.2,659.4,513.8,835.7,266,266.8
9,11,519,4,930.3,893.6,705.6,1138.8,376.5,361.6
9,11,608,3,797.1,783.7,757.5,836.7,322.6,317.1
9,11,701,1,924.3,923,924.3,924.3,374,373.5
9,11,708,4,649.2,629.9,613.1,701.8,262.7,254.9
9,11,962,2,877.2,813.8,749.2,1005.2,355,329.3
9,13,103,3,1168.7,985.4,1006.9,1277.9,473,398.8
9,13,401,2,743,740,668.1,818,300.7,299.5
9,13,503,15,833.7,789.4,684.5,968.6,337.4,319.5
9,13,505,2,889.8,849.6,807.7,971.9,360.1,343.8
9,13,519,5,1008,1097.3,919.2,1126.8,407.9,444.1
9,13,608,1,856.1,821.5,856.1,856.1,346.5,332.4
9,13,708,3,917,799.7,802,978,371.1,323.6
9,15,102,1,1172.4,1158,1172.4,1172.4,474.4,468.6
9,15,103,2,1318.3,1289.5,1132.5,1504.1,533.5,521.8
9,15,105,1,1038.6,1092.6,1038.6,1038.6,420.3,442.2
9,15,401,5,1095,1028.4,967.7,1085.5,443.2,416.2
9,15,402,1,1093.9,1053.6,1093.9,1093.9,442.7,426.4
9,15,503,14,873.8,905.5,867.3,957.9,353.6,366.5
9,15,504,1,730,714.6,730,730,295.4,289.2
9,15,505,2,748.2,719.1,683.5,812.8,302.8,291
9,15,510,2,756.5,726.5,752.3,760.7,306.2,294
9,15,515,3,921.5,890.3,821.1,1032,372.9,360.3
9,15,516,2,623.9,616.7,614,633.7,252.5,249.6
9,15,519,5,829.8,857.1,706.4,995.3,335.8,346.9
9,15,708,1,1012.6,966,1012.6,1012.6,409.8,390.9
9,15,962,1,415.5,406.4,415.5,415.5,168.1,164.5
23,1,103,7,959.3,1028.4,911.4,1153.8,388.2,416.2
23,1,104,2,812.6,822.6,799.5,825.8,328.9,332.9
23,1,105,1,1087.7,1046,1087.7,1087.7,440.2,423.3
23,1,401,2,1166.1,1074.3,975.2,1357.1,471.9,434.7
23,1,505,4,943.6,1012.7,901.5,1061.5,381.9,409.8
23,1,701,1,530.3,546,530.3,530.3,214.6,221
23,1,706,1,1725.5,1598.8,1725.5,1725.5,698.3,647
23,1,708,3,1049.9,1207.6,917.2,1251.9,424.9,488.7
23,1,801,15,996.9,839.6,713.6,1238.3,403.4,339.8
23,1,805,4,625.4,726.1,486,803.3,253.1,293.8
23,1,809,3,834.2,758.4,766.8,873.8,337.6,306.9
23,1,901,1,1855.6,1826,1855.6,1855.6,751,738.9
23,1,903,2,618.4,663,514.9,721.9,250.2,268.3
23,3,102,2,1157.6,1148.2,1097,1218.3,468.5,464.7
23,3,103,1,1543.1,1453.9,1543.1,1543.1,624.5,588.4
23,3,105,4,1094.3,1092.4,914.6,1289.6,442.9,442.1
23,3,121,121,1151,1091.3,848.7,1385.9,465.8,441.6
23,3,122,17,971,913.2,714.9,1156.6,393,369.6
23,3,123,18,1193.8,1195.8,1013.7,1353.6,483.1,483.9
23,3,124,55,1157.4,1066.4,918.9,1411.7,468.4,431.5
23,3,125,34,855.8,795.1,579.4,1098.9,346.3,321.8
23,3,126,6,1051.5,1055.9,812.3,1292.3,425.5,427.3
23,3,127,63,1262.4,1192.6,949.8,1585.6,510.9,482.6
23,3,384,3,1330,1375.9,1261.5,1434.2,538.2,556.8
23,3,401,1,1305.6,1117.5,1305.6,1305.6,528.4,452.2
23,3,701,3,786.2,552.2,526.6,933.3,318.2,223.5
23,3,708,1,454.7,474.8,454.7,454.7,184,192.2
23,3,801,228,913.1,878.5,708.5,1070.8,369.5,355.5
23,3,805,10,833.1,762.3,564.4,818.6,337.1,308.5
23,3,809,21,862.8,860.9,632.8,1023.4,349.2,348.4
23,3,901,50,1051.2,1044.6,792.8,1251.2,425.4,422.7
23,3,902,19,1095.6,985.2,834.6,1157.6,443.4,398.7
23,3,904,13,921.8,815.9,713.7,1180.2,373,330.2
23,3,905,3,912.6,910.5,708.2,1127.8,369.3,368.5
23,3,962,7,922.5,919.1,809,1054.7,373.3,371.9
23,3,999,2,1067.6,1031.8,794.3,1340.9,432,417.6
23,5,103,12,1260.2,1384.2,1054.9,1443.4,510,560.2
23,5,104,2,1272.6,1265.5,1143.6,1401.6,515,512.1
23,5,105,2,786.2,753.5,730,842.4,318.2,304.9
23,5,167,1,597.3,575.5,597.3,597.3,241.7,232.9
23,5,401,13,1174.6,1144.1,924,1266,475.3,463
23,5,409,1,442.3,429.5,442.3,442.3,179,173.8
23,5,503,3,789.9,657.3,653.1,874.3,319.7,266
23,5,505,11,1021.7,1024.5,783.1,1229.3,413.5,414.6
23,5,519,2,860.3,859.1,849.8,870.8,348.2,347.7
23,5,520,1,819,794.2,819,819,331.4,321.4
23,5,701,1,1428.6,1378.1,1428.6,1428.6,578.2,557.7
23,5,708,2,754.6,760.2,660.9,848.3,305.4,307.6
23,5,801,21,1007.7,992.8,726.3,1220.5,407.8,401.8
23,5,805,1,1234,1207.7,1234,1234,499.4,488.7
23,5,809,2,985.1,986.7,951.1,1019,398.6,399.3
23,5,901,1,1325.5,1350.3,1325.5,1325.5,536.4,546.5
23,5,962,1,673.2,619.4,673.2,673.2,272.4,250.6
23,7,103,2,1203.3,1202.8,1086.6,1320.1,487,486.8
23,7,105,1,1525.1,1515,1525.1,1525.1,617.2,613.1
23,7,121,17,1068.8,1019.2,759.7,1145.8,432.5,412.4
23,7,122,2,1157.1,1149.3,1146,1168.3,468.3,465.1
23,7,123,9,1127,1006.4,805.8,1254.1,456.1,407.3
23,7,124,7,983.8,1027.7,724.8,1138.1,398.1,415.9
23,7,125,2,1091.8,1061.5,1091.1,1092.4,441.8,429.6
23,7,127,5,955.5,834.5,779.4,1109.7,386.7,337.7
23,7,401,1,1815.9,1598.4,1815.9,1815.9,734.9,646.8
23,7,505,1,716.6,713.5,716.6,716.6,290,288.7
23,7,708,2,854,829.7,785.7,922.2,345.6,335.7
23,7,801,78,928.3,888.7,734.2,1047.6,375.7,359.7
23,7,805,9,823.6,833.3,655.9,953.2,333.3,337.2
23,7,809,8,917.9,1014.6,670.4,1186.4,371.5,410.6
23,7,901,16,1026.1,1085.8,883.8,1226.4,415.3,439.4
23,7,902,15,1068.1,997.2,751.9,1171.6,432.2,403.5
23,7,903,1,727.7,744.1,727.7,727.7,294.5,301.1
23,7,905,1,869.6,810.8,869.6,869.6,351.9,328.1
23,7,962,1,791.6,874.4,791.6,791.6,320.4,353.8
23,9,101,1,602.4,632.1,602.4,602.4,243.8,255.8
23,9,103,14,1085.2,1173,874.9,1218.1,439.2,474.7
23,9,105,6,1054.2,1049,886.3,1083.4,426.6,424.5
23,9,121,14,1021,971.6,721.5,1178.2,413.2,393.2
23,9,122,2,733.3,722.3,604.2,862.4,296.8,292.3
23,9,123,21,1050.6,988.6,838.4,1154.1,425.2,400.1
23,9,124,9,1065.8,1109.6,1052.3,1111.7,431.3,449
23,9,125,10,1021,739.3,601.5,1366.1,413.2,299.2
23,9,127,5,1076.1,1125.8,1043.2,1144.6,435.5,455.6
23,9,401,3,1034.1,913.8,859.6,1153.4,418.5,369.8
23,9,503,1,663.5,632.3,663.5,663.5,268.5,255.9
23,9,505,6,790.4,781,753.2,794.6,319.9,316
23,9,701,1,748.8,809.9,748.8,748.8,303,327.8
23,9,708,3,668.3,810.7,488.1,910.2,270.5,328.1
23,9,801,31,1080.7,935,873.4,1182.7,437.3,378.4
23,9,805,3,924,918.5,816.8,996.9,373.9,371.7
23,9,809,11,926.9,984.2,698.4,1041.6,375.1,398.3
23,9,901,7,997.5,940.3,847.7,1088.4,403.7,380.5
23,9,902,4,700.7,744.2,617.6,827.4,283.6,301.2
23,9,903,6,1014.2,1017.5,831.9,1253.6,410.4,411.8
23,9,905,1,875,849.7,875,875,354.1,343.9
23,9,962,2,552.3,505.7,505.5,599.1,223.5,204.7
23,9,999,1,305.1,293.5,305.1,305.1,123.5,118.8
23,11,103,10,978.4,1008,824.9,1265.6,395.9,407.9
23,11,104,4,1209.6,1264.9,1055.6,1457.8,489.5,511.9
23,11,105,2,894.9,871.3,855.7,934,362.1,352.6
23,11,121,2,747.7,739.4,615.8,879.6,302.6,299.2
23,11,401,7,1084.5,1128.7,872,1240.2,438.9,456.8
23,11,505,5,997.3,1020,940.9,1054.1,403.6,412.8
23,11,706,1,891.2,854.1,891.2,891.2,360.7,345.6
23,11,708,3,934.7,641.2,639.3,1111,378.2,259.5
23,11,801,34,1017.1,934.3,762.9,1184.3,411.6,378.1
23,11,809,3,868.7,870.2,643.8,1098.9,351.6,352.1
23,11,901,4,989.9,938.4,796.2,1170.8,400.6,379.8
23,11,902,3,888.6,778.1,777.4,944.3,359.6,314.9
23,11,903,1,764.9,814.6,764.9,764.9,309.6,329.7
23,13,103,1,1267.1,1249.3,1267.1,1267.1,512.8,505.6
23,13,121,1,729.1,735.7,729.1,729.1,295.1,297.7
23,13,122,2,688.7,724,628.1,749.3,278.7,293
23,13,123,7,948.6,961.5,730.2,1077.4,383.9,389.1
23,13,401,1,1066.2,976,1066.2,1066.2,431.5,395
23,13,503,1,652.9,656.9,652.9,652.9,264.2,265.8
23,13,505,3,576.4,626.2,551.8,624.5,233.3,253.4
23,13,519,1,512.7,466,512.7,512.7,207.5,188.6
23,13,801,7,924.8,919.6,908.7,1045.5,374.3,372.1
23,13,805,1,1328.3,1290.3,1328.3,1328.3,537.5,522.2
23,13,809,5,1039.4,1075.2,985.1,1058.9,420.6,435.1
23,13,901,2,685.7,668.2,598.2,773.1,277.5,270.4
23,13,902,2,927.3,908.2,844.9,1009.7,375.3,367.5
23,13,903,1,924.1,836.7,924.1,924.1,374,338.6
23,15,103,7,1213.9,1134.7,1095.3,1251.7,491.3,459.2
23,15,105,1,993.4,959.1,993.4,993.4,402,388.1
23,15,121,1,566.4,518.9,566.4,566.4,229.2,210
23,15,123,2,1082.3,1021.5,862.5,1302.1,438,413.4
23,15,401,8,1091.2,1064.5,708,1440.6,441.6,430.8
23,15,503,1,850.6,868.6,850.6,850.6,344.2,351.5
23,15,505,5,1097.1,1184.8,968.4,1229.6,444,479.5
23,15,708,3,1027.6,1010.2,984.4,1056.2,415.8,408.8
23,15,801,12,869.6,824.3,648.7,1004.8,351.9,333.6
23,15,805,1,1384,1361.3,1384,1384,560.1,550.9
23,15,901,1,1134.5,1115.4,1134.5,1134.5,459.1,451.4
23,15,902,1,885.8,964.8,885.8,885.8,358.5,390.5
23,17,103,13,1057.4,1014.6,986.2,1238.8,427.9,410.6
23,17,104,3,1254,1338.9,1114.7,1436.8,507.5,541.8
23,17,105,7,1220.9,1271.1,1073.9,1334.5,494.1,514.4
23,17,121,10,1033.5,1068,816.3,1245.7,418.2,432.2
23,17,123,12,1174.1,1150.6,999.7,1279.9,475.2,465.6
23,17,124,2,868.2,832,790.2,946.2,351.4,336.7
23,17,125,2,965.7,970.2,842.7,1088.7,390.8,392.6
23,17,127,1,1012.8,906.7,1012.8,1012.8,409.9,366.9
23,17,385,1,555.1,583.3,555.1,555.1,224.7,236.1
23,17,401,11,1033.7,1069.5,796.1,1203.7,418.3,432.8
23,17,503,1,895.9,846.5,895.9,895.9,362.6,342.6
23,17,505,6,1053.5,978.9,880.3,1217.9,426.3,396.2
23,17,519,1,518.4,517.3,518.4,518.4,209.8,209.4
23,17,708,2,826.6,853.5,757.5,895.7,334.5,345.4
23,17,801,128,887.6,842,720.1,1024.4,359.2,340.7
23,17,805,2,927.3,933.7,776.7,1077.9,375.3,377.8
23,17,809,15,901.3,844.6,767.6,1037.8,364.7,341.8
23,17,901,6,1018.8,1019.6,818.5,1277.7,412.3,412.6
23,17,902,11,1080.4,1068.4,1004.5,1184.3,437.2,432.4
23,17,903,3,1163.2,1177.5,1048.8,1364.4,470.7,476.5
23,17,905,1,305.9,342.1,305.9,305.9,123.8,138.4
23,19,102,2,629.1,757.9,556.4,701.7,254.6,306.7
23,19,103,21,1110.4,1004.2,815.5,1163,449.4,406.4
23,19,104,5,1396,1370.9,1320.3,1624.1,564.9,554.8
23,19,105,22,1073.3,1053.2,827.5,1286.1,434.4,426.2
23,19,121,38,1139.1,1047.4,841.6,1429.5,461,423.9
23,19,122,3,970.5,967.3,904.1,1055.5,392.8,391.5
23,19,123,18,1212.4,1212.2,997.8,1347.2,490.6,490.6
23,19,124,14,1134.9,993.4,770.2,1397.8,459.3,402
23,19,125,8,916.3,897,527.9,1280,370.8,363
23,19,126,2,891.3,896.1,831,951.6,360.7,362.6
23,19,127,32,1158.7,1137.4,974,1349.5,468.9,460.3
23,19,384,1,761.6,681.4,761.6,761.6,308.2,275.8
23,19,385,1,922.9,970.6,922.9,922.9,373.5,392.8
23,19,401,2,1416.8,1396.7,1364.2,1469.5,573.4,565.2
23,19,505,3,895.3,809.2,792.3,967.7,362.3,327.5
23,19,516,1,1124.2,1109,1124.2,1124.2,454.9,448.8
23,19,701,7,1004.5,1038.5,989.3,1143.7,406.5,420.3
23,19,706,2,869.2,855.1,800.4,937.9,351.7,346
23,19,707,1,642.2,637.3,642.2,642.2,259.9,257.9
23,19,708,11,725,849.8,484.3,992.5,293.4,343.9
23,19,801,104,939.2,869.9,732.6,1104,380.1,352.1
23,19,805,2,1244.2,1199.3,1169.4,1318.9,503.5,485.3
23,19,809,14,919.4,848.3,649.9,1054.8,372.1,343.3
23,19,901,22,1105.3,1136.4,922.5,1288.5,447.3,459.9
23,19,902,6,1027.7,978.8,817.1,1097.6,415.9,396.1
23,19,903,7,872.6,899.4,733.3,1018.5,353.1,364
23,19,904,3,1164.7,1108.6,1093.4,1253.2,471.3,448.6
23,19,905,3,1002.2,908.6,892.4,1126.4,405.6,367.7
23,19,962,1,1193.8,1185.7,1193.8,1193.8,483.1,479.9
23,19,999,1,472,520.4,472,472,191,210.6
23,21,102,1,980.2,968.4,980.2,980.2,396.7,391.9
23,21,103,6,1313,1360,1176.7,1501.9,531.4,550.4
23,21,104,1,1691.5,1639.8,1691.5,1691.5,684.5,663.6
23,21,105,4,1241,1323.3,1120.2,1457.8,502.2,535.5
23,21,121,70,1219.5,1188.7,920.3,1453.9,493.5,481.1
23,21,122,2,889,868.1,851.3,926.7,359.8,351.3
23,21,123,45,1179.9,1121.2,939.5,1410.2,477.5,453.8
23,21,124,37,1246.1,1210.2,985.3,1445.8,504.3,489.7
23,21,125,10,1015.9,1006.8,796,1088.4,411.1,407.4
23,21,126,3,554.9,706.5,324.9,741.3,224.6,285.9
23,21,127,25,1337.1,1323.1,1133,1580,541.1,535.4
23,21,401,7,1137.4,1008.1,916.9,1114.6,460.3,408
23,21,516,1,814.2,791.3,814.2,814.2,329.5,320.2
23,21,701,1,906.1,894.7,906.1,906.1,366.7,362.1
23,21,708,3,770.8,665.4,649,836.5,311.9,269.3
23,21,801,178,949.2,911.5,770.5,1124.9,384.1,368.9
23,21,805,3,671.8,842.7,553.2,880,271.8,341
23,21,809,16,1001.8,951.3,822.3,1201.5,405.4,385
23,21,901,13,1156.3,1035.2,848.9,1415.7,468,418.9
23,21,902,20,1047.3,1048.4,858.7,1184.1,423.8,424.3
23,21,903,1,501.9,472.2,501.9,501.9,203.1,191.1
23,21,905,2,1066.9,1073.3,926.8,1207.1,431.8,434.4
23,21,962,1,758,732,758,758,306.7,296.3
23,23,103,2,1060.3,1047.2,1004.6,1115.9,429.1,423.8
23,23,104,1,1030.8,1018.2,1030.8,1030.8,417.1,412.1
23,23,105,2,1032.6,1031.8,950.2,1115,417.9,417.5
23,23,123,2,970.7,959.4,946.2,995.2,392.8,388.2
23,23,401,1,951.1,924.1,951.1,951.1,384.9,374
23,23,503,1,924.3,1028.2,924.3,924.3,374,416.1
23,23,505,4,710.4,674,580.9,795.4,287.5,272.8
23,23,708,1,899,886.6,899,899,363.8,358.8
23,23,801,6,1080,1067.7,909.1,1261.9,437.1,432.1
23,23,809,2,682.6,743.4,648.6,716.5,276.2,300.8
23,25,102,4,1034.9,1062.3,965.8,1165.4,418.8,429.9
23,25,103,6,1352.4,1187.6,1006.5,1550.8,547.3,480.6
23,25,104,2,1046.8,1047.5,1010.9,1082.8,423.6,423.9
23,25,105,2,952.8,940.3,810.6,1095,385.6,380.5
23,25,121,56,1221,1096.5,898.7,1466.6,494.1,443.7
23,25,122,1,863.2,779.4,863.2,863.2,349.3,315.4
23,25,123,30,1156.1,1050.7,909.4,1291.8,467.9,425.2
23,25,124,38,1078.5,1007,877.9,1235.5,436.5,407.5
23,25,125,14,1104.1,889.6,651.1,1388,446.8,360
23,25,127,15,1285.6,1192.1,1081.1,1380.7,520.3,482.4
23,25,401,6,856.3,927.6,826.7,978.1,346.5,375.4
23,25,409,1,1135.7,1040.3,1135.7,1135.7,459.6,421
23,25,517,1,530.9,465.1,530.9,530.9,214.8,188.2
23,25,520,1,1021.8,893.4,1021.8,1021.8,413.5,361.5
23,25,701,7,918.3,723,652,1273.4,371.6,292.6
23,25,708,3,881.8,701.5,676.8,1004.8,356.9,283.9
23,25,801,169,909.4,877.6,707,1057.6,368,355.2
23,25,805,10,768.1,744.5,600.2,895.3,310.9,301.3
23,25,809,17,1025.1,974.8,858,1121.1,414.9,394.5
23,25,901,17,1105.9,1136.8,936.3,1296.8,447.6,460.1
23,25,902,14,953.7,973.3,816.6,1176.4,385.9,393.9
23,25,903,2,806.6,738.1,617.1,996.2,326.4,298.7
23,25,905,4,1012.3,906.6,875.7,1055.9,409.7,366.9
23,25,962,5,615.2,518.3,429.9,805,249,209.8
23,27,103,6,1095.2,1026.4,734.3,1196.2,443.2,415.4
23,27,104,2,1026.8,1017.7,1018,1035.7,415.5,411.8
23,27,105,1,1254.4,1243,1254.4,1254.4,507.7,503
23,27,121,5,909.1,919.6,801.4,1032.1,367.9,372.1
23,27,122,1,856.1,936.7,856.1,856.1,346.4,379.1
23,27,123,3,1010.4,1140.8,890.4,1177.6,408.9,461.7
23,27,125,1,1042.2,1033.3,1042.2,1042.2,421.8,418.2
23,27,127,1,1555.6,1498.5,1555.6,1555.6,629.5,606.4
23,27,401,3,970.9,889.8,873.5,1030.8,392.9,360.1
23,27,505,4,1017.7,1002.5,809.9,1222,411.8,405.7
23,27,516,1,1288.2,1262.3,1288.2,1288.2,521.3,510.8
23,27,701,1,941.3,978.3,941.3,941.3,380.9,395.9
23,27,708,1,829.4,783.8,829.4,829.4,335.7,317.2
23,27,801,28,947,939.9,798.6,1072.7,383.2,380.3
23,27,805,4,847.1,777.5,550.6,1074.4,342.8,314.6
23,27,809,10,1140.7,999.9,832.4,1485.7,461.6,404.6
23,27,901,4,1106,1089.3,804.2,1315.9,447.6,440.8
23,27,999,2,469.8,448.7,432.6,507,190.1,181.6
23,29,102,1,741.5,714.5,741.5,741.5,300.1,289.1
23,29,103,16,989.4,984.8,813.2,1159.9,400.4,398.6
23,29,104,2,1033.1,1057.2,984.3,1081.8,418.1,427.8
23,29,105,14,1038.3,979.9,905.9,1138.2,420.2,396.6
23,29,121,48,988.2,986,788.2,1143.8,399.9,399
23,29,122,2,708.8,682.2,428.9,988.7,286.8,276.1
23,29,123,17,963.6,959.6,745,1086.4,390,388.3
23,29,124,23,1121.9,1159.1,999.8,1291.5,454,469.1
23,29,125,15,931.2,788.4,620.9,883,376.8,319.1
23,29,126,3,531.4,586.8,401.1,666.6,215,237.5
